date,user,name,text,retweet,favorite,location,Post
2022-04-05 06:56:00+00:00,cns_health,CNS,Associations of different medical specialities must join forces to give input to the government to help improve res… https://t.co/Osj9wJFN6U,0,0,global,Associations of different medical specialities must join forces to give input to the government to help improve res… https://t.co/Osj9wJFN6U
2022-04-05 06:55:56+00:00,NDentico,Nicoletta Dentico,WTO IP Waiver ‘Compromise’ on COVID-19 Vaccines ‘Deeply Concerning': Civil Society to European Leaders https://t.co/p10RZ3I1ed,0,1,Italia / global ,WTO IP Waiver ‘Compromise’ on COVID-19 Vaccines ‘Deeply Concerning': Civil Society to European Leaders https://t.co/p10RZ3I1ed
2022-04-05 06:55:49+00:00,kristiesulliv,Kristie Sullivan,66.1% of Victorians aged 18 and over have had three doses of a COVID-19 vaccine. 94.4% of Victorians aged 12 and over have had two doses,0,0,"Melbourne, Victoria",66.1% of Victorians aged 18 and over have had three doses of a COVID-19 vaccine. 94.4% of Victorians aged 12 and over have had two doses
2022-04-05 06:55:48+00:00,stateviewsnews,State Views,"India logs 795 new COVID-19 cases

https://t.co/d7MR99SIh5 https://t.co/QZOC33D28Z",0,0,,"India logs 795 new COVID-19 cases

https://t.co/d7MR99SIh5 https://t.co/QZOC33D28Z"
2022-04-05 06:55:35+00:00,WahcaMia,MiaMarie #TeamShapiroBetoAbramsDemingsMcMullinRevW,Experts warn of a new wave of COVID-19 as cases rise across Japan | The Japan Times https://t.co/dprhPrWR0r,0,0,On a Mountain Somewhere,Experts warn of a new wave of COVID-19 as cases rise across Japan | The Japan Times https://t.co/dprhPrWR0r
2022-04-05 06:55:26+00:00,PeriscopTimes,Periscope Times,"India logs 795 new COVID-19 cases

https://t.co/8p3X70uTA7 https://t.co/Wu0hsSY9Yq",0,0,,"India logs 795 new COVID-19 cases

https://t.co/8p3X70uTA7 https://t.co/Wu0hsSY9Yq"
2022-04-05 06:55:18+00:00,TheTNNLive,The News Network Live,"India logs 795 new COVID-19 cases

https://t.co/xHEaB6Ur54 https://t.co/Avzd2tpq4H",0,0,Jammu And Kashmir,"India logs 795 new COVID-19 cases

https://t.co/xHEaB6Ur54 https://t.co/Avzd2tpq4H"
2022-04-05 06:55:07+00:00,AuEpochTimes,The Epoch Times Australia 🇦🇺,"A COVID-19 Omicron subvariant—known as #XE—has been found in the #UnitedKingdom, said the World Health Organization… https://t.co/TdzAOZkYFQ",1,0,Australia,"A COVID-19 Omicron subvariant—known as #XE—has been found in the #UnitedKingdom, said the World Health Organization… https://t.co/TdzAOZkYFQ"
2022-04-05 06:55:05+00:00,Anymous84861064,Anymouse 77th,@MdBreathe @nytimes LOL. More Ivermectin nonsense promotion. Are you still actually trying to use retracted papers… https://t.co/IzK2gQPXBM,0,0,In orbit around G2 V Star.,@MdBreathe @nytimes LOL. More Ivermectin nonsense promotion. Are you still actually trying to use retracted papers… https://t.co/IzK2gQPXBM
2022-04-05 06:55:03+00:00,RKCasting,Ray Knight Casting,Latest Update - The official UK government website for data and insights on coronavirus (COVID-19) -  UK summary -… https://t.co/ZLZhLIysp6,0,0,"Elstree Studios, UK",Latest Update - The official UK government website for data and insights on coronavirus (COVID-19) -  UK summary -… https://t.co/ZLZhLIysp6
2022-04-05 06:55:00+00:00,SomerYouthVoice,Somerset Young People’s Voice,"Covid-19 is still with us, so it’s important that we all go on doing simple things to protect our families and comm… https://t.co/L6ofHCn9KI",0,0,Somerset,"Covid-19 is still with us, so it’s important that we all go on doing simple things to protect our families and comm… https://t.co/L6ofHCn9KI"
2022-04-05 06:54:51+00:00,Chinochitu,Iconic Male Nurse,"DJ KENNY ENT. &amp; BAR-B-QUES PRESENTS
#BlantyreMasqueradeParty 
#BlantyreEnjoyment 
Blantyre People, there will also… https://t.co/mvk2F0yCp7",0,1,"Lilongwe, Malawi","DJ KENNY ENT. &amp; BAR-B-QUES PRESENTS
#BlantyreMasqueradeParty 
#BlantyreEnjoyment 
Blantyre People, there will also… https://t.co/mvk2F0yCp7"
