title,link,channel,views,time_published,snippet,verified_badge,extensions,Post,file_path
সব কটাক্ষের জবাব দিয়ে দৃশ্যমান পদ্মা সেতু! | Padma Bridge | Khaleda Zia | Somoy TV,https://www.youtube.com/watch?v=bIYSnNDfW7E,"{'channel_name': 'SOMOY TV', 'channel_link': 'https://www.youtube.com/c/SomoytvNetupdate'}",3.2M views,1 year ago,Padma_Bridge_Prediction #Khaleda_Zia বিশ্বব্যাংকের টাকা ছাড়া পদ্মা সেতু অসম্ভব।,True,,সব কটাক্ষের জবাব দিয়ে দৃশ্যমান পদ্মা সেতু! | Padma Bridge | Khaleda Zia | Somoy TV,27_05_2022-21_10_53-Padma Bridge-partho.csv
পদ্মা সেতুতে ল্যাম্পপোস্ট বসানোর কাজ শেষ | Padma Bridge | Padma River | Munshiganj News | Somoy TV,https://www.youtube.com/watch?v=KGOlJGCLaIs,"{'channel_name': 'SOMOY TV', 'channel_link': 'https://www.youtube.com/c/SomoytvNetupdate'}",665K views,1 month ago,PadmaBridge #PadmaRiver #Padma #MunshiganjNews #SomoyTV শেষ হলো পদ্মা সেতুতে ...,True,,পদ্মা সেতুতে ল্যাম্পপোস্ট বসানোর কাজ শেষ | Padma Bridge | Padma River | Munshiganj News | Somoy TV,27_05_2022-21_10_53-Padma Bridge-partho.csv
পদ্মা সেতুর রোড মার্কিং শুরু ! | Padma Bridge | Starting of Road Marking | Somoy News | Somoy TV,https://www.youtube.com/watch?v=eVVa2xP_ykA,"{'channel_name': 'SOMOY TV', 'channel_link': 'https://www.youtube.com/c/SomoytvNetupdate'}",786K views,9 days ago,PadmaBridge #Starting_of_Road_Marking #SomoyNews #SomoyTV পদ্মা সেতুর মাওয়া প্রান্তের ...,True,,পদ্মা সেতুর রোড মার্কিং শুরু ! | Padma Bridge | Starting of Road Marking | Somoy News | Somoy TV,27_05_2022-21_10_53-Padma Bridge-partho.csv
পদ্মা সেতু খুলছে ২৫ জুন; নদী পাড়ের মানুষদের উচ্ছ্বাস! | Padma Bridge,https://www.youtube.com/watch?v=KZ-SWJOtYHw,"{'channel_name': 'Jamuna TV', 'channel_link': 'https://www.youtube.com/c/JamunaTVbd'}",203K views,3 days ago,পদ্মাসেতুর উদ্বোধনের তারিখ ঘোষণার খবরে আনন্দ মিছিল হয়েছে ...,True,New,পদ্মা সেতু খুলছে ২৫ জুন; নদী পাড়ের মানুষদের উচ্ছ্বাস! | Padma Bridge,27_05_2022-21_10_53-Padma Bridge-partho.csv
৯৫ শতাংশের বেশি কাজ শেষ পদ্মা সেতু | Padma Bridge Update | Munsiganj News | Somoy TV,https://www.youtube.com/watch?v=NvPJkUX-0Dc,"{'channel_name': 'SOMOY TV', 'channel_link': 'https://www.youtube.com/c/SomoytvNetupdate'}",262K views,5 months ago,PadmaBridgeUpdate #MunsiganjNews #SomoyTV আরও বিস্তারিত জানতে ভিজিট করুন: ...,True,,৯৫ শতাংশের বেশি কাজ শেষ পদ্মা সেতু | Padma Bridge Update | Munsiganj News | Somoy TV,27_05_2022-21_10_53-Padma Bridge-partho.csv
আগামী মাসেই বহুল প্রতীক্ষিত পদ্মা সেতুর উদ্বোধন | Padma Bridge Update | Somoy TV,https://www.youtube.com/watch?v=ZuxvU86vlhE,"{'channel_name': 'SOMOY TV', 'channel_link': 'https://www.youtube.com/c/SomoytvNetupdate'}",225K views,2 weeks ago,Padma_Bridge_Update #SomoyTV আরও বিস্তারিত জানতে ভিজিট করুন: https://www.somoynews.tv Fair ...,True,,আগামী মাসেই বহুল প্রতীক্ষিত পদ্মা সেতুর উদ্বোধন | Padma Bridge Update | Somoy TV,27_05_2022-21_10_53-Padma Bridge-partho.csv
জুনেই যান চলাচলের জন্য খুলে দেওয়া হবে পদ্মা সেতু | Padma Bridge | Padma River | Somoy TV,https://www.youtube.com/watch?v=4IWjCuHjSY4,"{'channel_name': 'SOMOY TV', 'channel_link': 'https://www.youtube.com/c/SomoytvNetupdate'}",485K views,3 months ago,PadmaBridge #PadmaRiver #MunshiganjNews #SomoyTV চলতি বছর জুনে পদ্মা সেতু যানচলাচলের ...,True,,জুনেই যান চলাচলের জন্য খুলে দেওয়া হবে পদ্মা সেতু | Padma Bridge | Padma River | Somoy TV,27_05_2022-21_10_53-Padma Bridge-partho.csv
জেনে নিন পদ্মা সেতুতে কোন যানবাহনের টোল কত? || #Padma Bridge Toll,https://www.youtube.com/watch?v=Aba2LsFyP1w,"{'channel_name': 'Independent Television', 'channel_link': 'https://www.youtube.com/c/IndependentTelevision'}",25K views,7 days ago,পদ্মা সেতুর টোল হার ৩০ থেকে ৪০ শতাংশ কমানোর দাবি পরিবহন ...,True,,জেনে নিন পদ্মা সেতুতে কোন যানবাহনের টোল কত? || #Padma Bridge Toll,27_05_2022-21_10_53-Padma Bridge-partho.csv
পদ্মা সেতুর টোলের পরিমাণ নিয়ে ক্ষোভ | Padma Bridge Toll | Maasranga News,https://www.youtube.com/watch?v=fWL1iPyd9j4,"{'channel_name': 'Maasranga News', 'channel_link': 'https://www.youtube.com/c/MaasrangaNewsbd'}",62K views,9 days ago,"Maasranga News is a collection of innovative and powerful news brands that deliver compelling, diverse, and engaging news ...",True,,পদ্মা সেতুর টোলের পরিমাণ নিয়ে ক্ষোভ | Padma Bridge Toll | Maasranga News,27_05_2022-21_10_53-Padma Bridge-partho.csv
পদ্মা সেতুর সড়কের কার্পেটিং শেষ করতে চলছে তোড়জোড় | Padma Bridge | Somoy TV,https://www.youtube.com/watch?v=npE0PXgutew,"{'channel_name': 'SOMOY TV', 'channel_link': 'https://www.youtube.com/c/SomoytvNetupdate'}",121K views,9 days ago,Padma_Bridge #Munshiganj_News #SomoyTV পদ্মা সেতুর মাওয়া প্রান্তের এক নম্বর ...,True,,পদ্মা সেতুর সড়কের কার্পেটিং শেষ করতে চলছে তোড়জোড় | Padma Bridge | Somoy TV,27_05_2022-21_10_53-Padma Bridge-partho.csv
ফেরির চেয়ে কত বেশি পদ্মা সেতুর টোল?| Padma Bridge | Toll of Padma Bridge| Toll Comparison | Somoy TV,https://www.youtube.com/watch?v=2LsQJpwzvw0,"{'channel_name': 'SOMOY TV', 'channel_link': 'https://www.youtube.com/c/SomoytvNetupdate'}",199K views,10 days ago,Toll #Toll_of_Padma_Bridge #BridgeToll #Ferry_of_Padma #TollComparison #Padma_Bridge_Toll #Final_Toll #SomoyNews ...,True,,ফেরির চেয়ে কত বেশি পদ্মা সেতুর টোল?| Padma Bridge | Toll of Padma Bridge| Toll Comparison | Somoy TV,27_05_2022-21_10_53-Padma Bridge-partho.csv
মোটর সাইকেল নিয়ে পদ্মা সেতু পার হতে কত টাকা লাগবে? | Padma Bridge Toll,https://www.youtube.com/watch?v=hsSKIwVVFHg,"{'channel_name': 'Jamuna TV', 'channel_link': 'https://www.youtube.com/c/JamunaTVbd'}",312K views,10 days ago,পদ্মা সেতুর টোল নির্ধারণ করেছে সড়ক পরিবহন ও সেতু মন্ত্রণালয়।,True,,মোটর সাইকেল নিয়ে পদ্মা সেতু পার হতে কত টাকা লাগবে? | Padma Bridge Toll,27_05_2022-21_10_53-Padma Bridge-partho.csv
চলতি মাসেই পুরোপুরি প্রস্তুত হবে পদ্মা সেতু | Padma Multipurpose Bridge | Munshiganj | Somoy TV,https://www.youtube.com/watch?v=UGwhLBn1lWo,"{'channel_name': 'SOMOY TV', 'channel_link': 'https://www.youtube.com/c/SomoytvNetupdate'}",85K views,12 days ago,PadmaMultipurposeBridge #PadmaRiver #padmasetu #Padma #MunshiganjNews #SomoyTV শেষ হতে চলেছে ...,True,,চলতি মাসেই পুরোপুরি প্রস্তুত হবে পদ্মা সেতু | Padma Multipurpose Bridge | Munshiganj | Somoy TV,27_05_2022-21_10_53-Padma Bridge-partho.csv
পদ্মা সেতুতে প্রায় ২ কি.মি. হাঁটলেন প্রধানমন্ত্রী | Sheikh Hasina | Sheikh Rehana | Padma bridge,https://www.youtube.com/watch?v=6LPLSgCxY6U,"{'channel_name': 'SOMOY TV', 'channel_link': 'https://www.youtube.com/c/SomoytvNetupdate'}",1M views,4 months ago,SheikhHasina #SheikhRehana #PadmaBridge #SomoyTV স্বপ্নের পদ্মা সেতু পরিদর্শন করলেন ...,True,,পদ্মা সেতুতে প্রায় ২ কি.মি. হাঁটলেন প্রধানমন্ত্রী | Sheikh Hasina | Sheikh Rehana | Padma bridge,27_05_2022-21_10_53-Padma Bridge-partho.csv
"ডিসেম্বরে নাকি জুন, কবে খুলছে পদ্মা সেতু? | Padma Bridge Opening | Finance Minister | Somoy TV",https://www.youtube.com/watch?v=X4iTUk_7ygo,"{'channel_name': 'SOMOY TV', 'channel_link': 'https://www.youtube.com/c/SomoytvNetupdate'}",433K views,1 month ago,PadmaBridgeOpening #FinanceMinister #LotusKamal #SomoyTV আরও বিস্তারিত জানতে ভিজিট করুন: ...,True,,"ডিসেম্বরে নাকি জুন, কবে খুলছে পদ্মা সেতু? | Padma Bridge Opening | Finance Minister | Somoy TV",27_05_2022-21_10_53-Padma Bridge-partho.csv
