title,link,channel,views,time_published,snippet,verified_badge,extensions,Post,file_path
Bangladesh Elections: Nation gears up for polls marred by violence,https://www.youtube.com/watch?v=b8RPRyvhClY,"{'channel_name': 'TRT World', 'channel_link': 'https://www.youtube.com/c/trtworld'}",19K views,3 years ago,"On Sunday, millions of people will vote in a general election that's already been marred by weeks of violence. There have been ...",True,,Bangladesh Elections: Nation gears up for polls marred by violence,28_05_2022-00_14_14-Bangladesh Upcoming National Election-partho.csv
Bangladesh votes in general election,https://www.youtube.com/watch?v=tl3PJ5flYpY,"{'channel_name': 'euronews', 'channel_link': 'https://www.youtube.com/EuronewsUSA'}",31K views,8 years ago,"Voting in Bangladesh's general election got underway on Sunday in a contest boycotted by the main... euronews, the most ...",True,,Bangladesh votes in general election,28_05_2022-00_14_14-Bangladesh Upcoming National Election-partho.csv
Opposition boycott local elections in Bangladesh,https://www.youtube.com/watch?v=bX-p_XcqiGY,"{'channel_name': 'Associated Press', 'channel_link': 'https://www.youtube.com/c/ap'}",1.9K views,6 months ago,Bangladesh started a series of local elections to choose village representatives amid a boycott by the country's largest opposition ...,True,,Opposition boycott local elections in Bangladesh,28_05_2022-00_14_14-Bangladesh Upcoming National Election-partho.csv
দেশজুড়ে প্রচারণার ব্যস্ততা | Election Saradesh | National Election In Bangladesh,https://www.youtube.com/watch?v=5H7lWbFA-tk,"{'channel_name': 'Boishakhi Tv News', 'channel_link': 'https://www.youtube.com/c/BoishakhiTvNews'}",98K views,3 years ago,দেশজুড়ে প্রচারণার ব্যস্ততা | Election Saradesh | National Election In Bangladesh | Moni | 24Dec18 ...,True,,দেশজুড়ে প্রচারণার ব্যস্ততা | Election Saradesh | National Election In Bangladesh,28_05_2022-00_14_14-Bangladesh Upcoming National Election-partho.csv
Famous Tea of Naogaon District ২০ টাকায় এক গ্লাস মালাই চা🔥,https://www.youtube.com/watch?v=7hQXc9oOxDg,"{'channel_name': 'AL MAMUN VLOG', 'channel_link': 'https://www.youtube.com/channel/UCowzS1h6vM2_h4aaulj8alg'}",6 views,21 hours ago,"tea, chai, chai recipe, masterchef of tea, special tea, malai tea, indian chai, malai chai, milk tea, creamy milk tea, creamy tea, how ...",,New,Famous Tea of Naogaon District ২০ টাকায় এক গ্লাস মালাই চা🔥,28_05_2022-00_14_14-Bangladesh Upcoming National Election-partho.csv
Bangladesh General Election 2018 LIVE 1,https://www.youtube.com/watch?v=YKh_GYglHsE,"{'channel_name': 'the IbrahimAaditya', 'channel_link': 'https://www.youtube.com/c/theIbrahimAaditya'}",471 views,3 years ago,Bangladesh Election: PM Sheikh Hasina wins landslide in disputed vote ▪️ Prime Minister Sheikh Hasina has secured her third ...,,,Bangladesh General Election 2018 LIVE 1,28_05_2022-00_14_14-Bangladesh Upcoming National Election-partho.csv
২৯৯ আসনে ভোট হবে ৩০ ডিসেম্বর ।। National Election 2018,https://www.youtube.com/watch?v=2vaFrC2ga6w,"{'channel_name': 'Independent Television', 'channel_link': 'https://www.youtube.com/c/IndependentTelevision'}",9K views,3 years ago,জাতীয় ঐক্যফ্রন্টের প্রার্থী টি আই এম ফজলে রাব্বীর মৃত্যুতে ...,True,,২৯৯ আসনে ভোট হবে ৩০ ডিসেম্বর ।। National Election 2018,28_05_2022-00_14_14-Bangladesh Upcoming National Election-partho.csv
Polls open in Bangladesh general election,https://www.youtube.com/watch?v=XKbk5_TBcmQ,"{'channel_name': 'TRT World Now', 'channel_link': 'https://www.youtube.com/c/TRTWorldNow'}",939 views,3 years ago,trtworld.com.,,,Polls open in Bangladesh general election,28_05_2022-00_14_14-Bangladesh Upcoming National Election-partho.csv
ভোটের লড়াইয়ে তারকাদের চমক | Bangladesh Election Result 2018,https://www.youtube.com/watch?v=a0jqXNfbA00,"{'channel_name': 'SOMOY TV', 'channel_link': 'https://www.youtube.com/c/SomoytvNetupdate'}",8.3K views,3 years ago,"""SOMOY TV"" is the Most Reliable News Source and Leading 24/7 News Based TV Channel in Bangladesh ...",True,,ভোটের লড়াইয়ে তারকাদের চমক | Bangladesh Election Result 2018,28_05_2022-00_14_14-Bangladesh Upcoming National Election-partho.csv
Live Talk Show - 11th National Election of Bangladesh,https://www.youtube.com/watch?v=8QGyg8tOaTc,"{'channel_name': 'Priyo Alo', 'channel_link': 'https://www.youtube.com/c/PriyoAlo'}",3 views,2 years ago,News Presenter & Cheif Reporter of Ananda Tv.,,,Live Talk Show - 11th National Election of Bangladesh,28_05_2022-00_14_14-Bangladesh Upcoming National Election-partho.csv
