title,link,channel,views,time_published,snippet,verified_badge,extensions,file_path
周杰倫 Jay Chou【算什麼男人 What Kind of Man】Official MV (ft. 林依晨),https://www.youtube.com/watch?v=v489sYYjtHI,"{'channel_name': '周杰倫 Jay Chou', 'channel_link': 'https://www.youtube.com/channel/UC8CU5nVhCQIdAGrFFp4loOQ'}",102M views,7 years ago,算什麼男人 詞/曲: 周杰倫 特別演出：林依晨/邱凱偉 為了歌曲的意境，周杰倫遠赴義大利的Verona（維洛那）以及佛羅倫斯拍攝MV對 ...,True,CC,26_05_2022-03_10_39-shaonthe super star-partho.csv
"The Undertaker sends a chilling warning to Triple H and Shawn Michaels: Raw, Sept. 3, 2018",https://www.youtube.com/watch?v=PiL2iCFifp0,"{'channel_name': 'WWE', 'channel_link': 'https://www.youtube.com/c/WWE'}",6.5M views,3 years ago,The Phenom rises in response to Shawn Michaels' belief that Triple H will defeat The Deadman at WWE Super Show-Down.,True,,26_05_2022-03_10_39-shaonthe super star-partho.csv
SHAUN CASSIDY SUPERSTAR,https://www.youtube.com/watch?v=lkAtKUhfz_Q,"{'channel_name': 'canitocorrea1963', 'channel_link': 'https://www.youtube.com/user/canitocorrea1963'}",1.1K views,9 years ago,"Video Homenaje al actor, cantante y productor SHAUN CASSIDY, ídolo juvenil de los setentas. VIDEO producido por DAVID ...",,,26_05_2022-03_10_39-shaonthe super star-partho.csv
Silverstone Winter Series Round 1 2021 C final with superstar Shaun Garratt win from 8th on the grid,https://www.youtube.com/watch?v=6THs7q-lUdA,"{'channel_name': 'michael penfold', 'channel_link': 'https://www.youtube.com/channel/UCxf1pjVz8GzKre97YOdQH6Q'}",227 views,7 months ago,,,,26_05_2022-03_10_39-shaonthe super star-partho.csv
WWE 2K22: How to Get HBK Shawn Michaels (MyRise Version),https://www.youtube.com/watch?v=Wg1F5N1yVuk,"{'channel_name': 'Assemble', 'channel_link': 'https://www.youtube.com/c/AssembleShow'}",40K views,1 month ago,This is a walkthrough of how to get shawn michaels community creation (myrise version) of HBK in wwe 2k22. I walk through the ...,,4K,26_05_2022-03_10_39-shaonthe super star-partho.csv
What Went Down: 30 Years of Undertaker | His best WrestleMania matches vs. Shawn Michaels & Triple H,https://www.youtube.com/watch?v=83hx-V1eRIQ,"{'channel_name': 'BT Sport', 'channel_link': 'https://www.youtube.com/c/BTSport'}",375K views,1 year ago,"With his 30 year career over, Undertaker joined Triple H and Shawn Michaels as they reflected on the Deadman's legendary ...",True,,26_05_2022-03_10_39-shaonthe super star-partho.csv
"FULL MATCH - Rey Mysterio vs Shawn Michaels: SmackDown, Jan. 29, 2010",https://www.youtube.com/watch?v=O2dFBAH0tBM,"{'channel_name': 'WWE', 'channel_link': 'https://www.youtube.com/c/WWE'}",634K views,1 year ago,The King of the 619 collides with The Showstopper in a legendary SmackDown main event: Courtesy of WWE Network.,True,CC,26_05_2022-03_10_39-shaonthe super star-partho.csv
"FULL MATCH - Michaels vs. McMahon – Street Fight: Saturday Night’s Main Event, March 18, 2006",https://www.youtube.com/watch?v=6qj4V-x67ig,"{'channel_name': 'WWE', 'channel_link': 'https://www.youtube.com/c/WWE'}",1.9M views,1 year ago,Shawn Michaels squares off against Shane McMahon in a brutal Street Fight on the return of Saturday Night's Main Event in 2006: ...,True,,26_05_2022-03_10_39-shaonthe super star-partho.csv
[ENG SUB] Pre-debut BTS gets an advice about love Shaun PoMortensen,https://www.youtube.com/watch?v=yxPs1i-LUco,"{'channel_name': 'Shaun PoMortensen', 'channel_link': 'https://www.youtube.com/channel/UCjRM9GB8KCSpVoceMfxiFYQ'}",414K views,5 years ago,"Please do not reupload this video on any website. This is old but for some reason I couldn't find an HD subbed version, so there ...",,,26_05_2022-03_10_39-shaonthe super star-partho.csv
"Triple H and Shawn Michaels don't see eye-to-eye: Raw, Oct. 21, 2013",https://www.youtube.com/watch?v=iQD24h9AZEs,"{'channel_name': 'WWE', 'channel_link': 'https://www.youtube.com/c/WWE'}",6.8M views,8 years ago,"Even though they are best friends, Triple H and Shawn Michaels do not agree on the talent level of Daniel Bryan.",True,,26_05_2022-03_10_39-shaonthe super star-partho.csv
