title,link,channel,views,time_published,snippet,verified_badge,extensions,Post,file_path
All Three Spideys Learn About Each Other | Spider Man: No Way Home,https://www.youtube.com/watch?v=Os7s1HuNRyw,"{'channel_name': 'Spider-Man', 'channel_link': 'https://www.youtube.com/c/spiderman'}",1.3M views,1 month ago,"All three Spider-Mans (Tom Holland, Tobey Maguire, Andrew Garfield) bond over learning about each other's universes. Watch ...",True,,All Three Spideys Learn About Each Other | Spider Man: No Way Home,26_05_2022-12_20_01-Spiderman no way home-partho.csv
SPIDER-MAN: NO WAY HOME - Official Hindi Teaser Trailer (HD) | In Cinemas December 17,https://www.youtube.com/watch?v=ei7R345Cjo0,"{'channel_name': 'Sony Pictures India', 'channel_link': 'https://www.youtube.com/c/SonyPicturesIndia'}",19M views,9 months ago,"What just happened? Watch the official Hindi teaser trailer for #SpiderManNoWayHome, exclusively in movie theaters December ...",True,,SPIDER-MAN: NO WAY HOME - Official Hindi Teaser Trailer (HD) | In Cinemas December 17,26_05_2022-12_20_01-Spiderman no way home-partho.csv
SPIDERMAN NO WAY HOME BREAKDOWN! Easter Eggs & Details You Missed!,https://www.youtube.com/watch?v=SWX5IbKlCNg,"{'channel_name': 'New Rockstars', 'channel_link': 'https://www.youtube.com/c/NewRockstars'}",13M views,5 months ago,Spoilers ahead! Spider-Man No Way Home Easter Eggs! No Way Home features Peter Parker (Tom Holland) meeting crossover ...,True,,SPIDERMAN NO WAY HOME BREAKDOWN! Easter Eggs & Details You Missed!,26_05_2022-12_20_01-Spiderman no way home-partho.csv
Peter brings The Villains to Happys apartment | Spider-Man: No Way Home | CLIP,https://www.youtube.com/watch?v=QdQh3ezvXLc,"{'channel_name': 'Boxoffice Movie Scenes', 'channel_link': 'https://www.youtube.com/channel/UCfk4Df9QxO267wlFbStSyAw'}",17K views,2 days ago,This scene is the reason i make sure my door is always locked. I don't want Sandman to ruin my couch!! Buy or rent the movie ...,True,New,Peter brings The Villains to Happys apartment | Spider-Man: No Way Home | CLIP,26_05_2022-12_20_01-Spiderman no way home-partho.csv
I Attended Spider-Man : No Way Home Premiere | Ashish Chanchlani | LA vlog,https://www.youtube.com/watch?v=7EGD9edu-ls,"{'channel_name': 'ashish chanchlani vines', 'channel_link': 'https://www.youtube.com/c/ashishchanchlanivines'}",19M views,5 months ago,Bas yehi kahunga thank you Acvians and thank you Sony Pictures India for sending me to the red carpet. Dil hadd ke bahar khush ...,True,,I Attended Spider-Man : No Way Home Premiere | Ashish Chanchlani | LA vlog,26_05_2022-12_20_01-Spiderman no way home-partho.csv
"Spider-Man No Way Home {SPOILERS}: Audience Reactions | December 16, 2021",https://www.youtube.com/watch?v=xJHezKOGq_Y,"{'channel_name': 'Audience Reactions', 'channel_link': 'https://www.youtube.com/c/AudienceReactions'}",1M views,1 month ago,"All rights goes to Sony Pictures ENT , Columbia Pictures, Marvel Entertainment **Instagram: audiencereactions -Link: ...",,,"Spider-Man No Way Home {SPOILERS}: Audience Reactions | December 16, 2021",26_05_2022-12_20_01-Spiderman no way home-partho.csv
Spider Man No Way Home Movie REVIEW | Deeksha Sharma,https://www.youtube.com/watch?v=n2DA8RlFSCg,"{'channel_name': 'Filmi Indian', 'channel_link': 'https://www.youtube.com/c/FilmiIndian'}",1.3M views,5 months ago,Spider Man No Way Home Movie Review In Hindi By Deeksha Sharma. SPIDER-MAN: NO WAY HOME Featuring Tom Holland in ...,True,4K,Spider Man No Way Home Movie REVIEW | Deeksha Sharma,26_05_2022-12_20_01-Spiderman no way home-partho.csv
মহামারীকালীন সময়ে সর্বোচ্চ ব্যবসাসফল সিনেমা | Spider-Man | Spider-Man: No Way Home | Somoy TV,https://www.youtube.com/watch?v=LzjAp1cq2YQ,"{'channel_name': 'SOMOY TV', 'channel_link': 'https://www.youtube.com/c/SomoytvNetupdate'}",47K views,5 months ago,SpiderMan #spidermannowayhome #TobeyMaguire #TomHolland #AndrewGarfield #WillemDafoe #MarisaTomei ...,True,,মহামারীকালীন সময়ে সর্বোচ্চ ব্যবসাসফল সিনেমা | Spider-Man | Spider-Man: No Way Home | Somoy TV,26_05_2022-12_20_01-Spiderman no way home-partho.csv
SPIDERMAN No Way Home Team | Off Road Vehicle Wipeout Obstacle RAMP on Sky CHALLENGE #327,https://www.youtube.com/watch?v=DRHQJ5Ro6IQ,"{'channel_name': 'DMProduction', 'channel_link': 'https://www.youtube.com/c/DMProductionTV'}",931K views,6 months ago,SPIDERMAN No Way Home Team | Off Road Vehicle Wipeout Obstacle RAMP on Sky CHALLENGE #327 #Dmproduction ...,,CC,SPIDERMAN No Way Home Team | Off Road Vehicle Wipeout Obstacle RAMP on Sky CHALLENGE #327,26_05_2022-12_20_01-Spiderman no way home-partho.csv
Everything Wrong With Spider-Man: No Way Home in 27 Minutes Or Less,https://www.youtube.com/watch?v=Ajn-PTtBOn4,"{'channel_name': 'CinemaSins', 'channel_link': 'https://www.youtube.com/user/CinemaSins'}",1.6M views,3 weeks ago,Spider-Man: No Way Home made so much money it's hard to even fathom. People got to see three beloved superhero characters ...,True,,Everything Wrong With Spider-Man: No Way Home in 27 Minutes Or Less,26_05_2022-12_20_01-Spiderman no way home-partho.csv
